title,description,genre,website_url,image_url,description_length,id,k_means_cluster
100 Bloody Acres,"Organic fertilizer producers and brothers are on the hunt for their ""secret ingredient"". When Reg, comes across a group of friends stranded on a remote country road, he sees a radical solution to their supply problem.","Comedy, Drama, Movies",https://iview.abc.net.au/show/100-bloody-acres/video/ZW2976A001S00,https://cdn.iview.abc.net.au/thumbs/i/zw/ZW2976A001S00_60de5fb5e632f_1920.jpg,36,0,0
13 Assassins,"When the sadistic excesses of Lord Matsudaira grow too extreme, a group of his own samurai are enlisted to assassinate him and end his deadly reign. A period action film from cult director, Takashi Miike (Ichi the Killer).","Drama, Movies",https://iview.abc.net.au/show/13-assassins/video/ZW2849A001S00,https://cdn.iview.abc.net.au/thumbs/i/zw/ZW2849A001S00_60a1a63c54e5d_1280.jpg,38,1,0
199 Little Heroes,"The journey to school is a very special type of life experience shared by millions of children around the world but in different ways. What happens between the two most important places in a child's life, home and school? Stages 2-3 HSIE, Stages 3-4 Geography.",Education,https://iview.abc.net.au/show/199-little-heroes,https://cdn.iview.abc.net.au/thumbs/i/zw/publicity_ZW0735A.jpg,45,2,11
30 Days Of Night,"After an Alaskan town is plunged into darkness for a month, it is attacked by a maniacal horde of vampires. The local sheriff, and a small but resilient band of survivors, work to help the few remaining townsfolk survive.","Drama, Movies",https://iview.abc.net.au/show/30-days-of-night/video/ZW2855A001S00,https://cdn.iview.abc.net.au/thumbs/i/zw/ZW2855A001S00_609cd8b47a95e_1280.jpg,39,3,5
7.30 Special: The Property Market,"In a 7.30 Special, Alan Kohler reports on housing affordability and the Australian property market, examining how the COVID-19 pandemic has seen prices surge and new homeowners struggle to enter the market.",News and current affairs,https://iview.abc.net.au/show/7-30-special-the-property-market/video/NS2170H001S00,https://cdn.iview.abc.net.au/thumbs/i/ns/NS2170H001S00_61bc0c43e9468_3600.jpg,32,4,4
7.30,"Leigh Sales presents Australia's leading nightly public affairs program, bringing you a unique perspective on the days issues, exclusive investigations and compelling interviews. Plus political analysis from Laura Tingle.",News and current affairs,https://iview.abc.net.au/show/7-30,https://cdn.iview.abc.net.au/thumbs/i/nc/NC2201H_61ccfedf3afcf_3600.jpg,29,5,8
72 Cutest Animals,The animal kingdom continually astounds us with showcases of strength and capability beyond our own. This series examines how some creatures possess an emotional appeal that we are powerless to resist.,Family,https://iview.abc.net.au/show/72-cutest-animals,https://cdn.iview.abc.net.au/thumbs/i/zw/ZW2439A_60da86e32944a.jpg,31,6,6
8MMM,"An Indigenous crew from a remote radio station air the day-to-day shenanigans of Alice Springs and its surrounds, from education, culture, money and reconciliations.",Comedy,https://iview.abc.net.au/show/8mmm,https://cdn.iview.abc.net.au/thumbs/i/ip/IP1330D_60875c2b7d646_1920.jpg,24,7,1
9/11: Life Under Attack,"9/11 was the first major news event in the age of digital cameras and voicemails. This remarkable film tells the never-before-told stories of that day, created through a tapestry of previously unseen video and unheard audio.",Documentary,https://iview.abc.net.au/show/9-11-life-under-attack/video/ZW3079A001S00,https://cdn.iview.abc.net.au/thumbs/i/zw/ZW3079A001S00_6124670cde10d.jpg,36,8,3
9/11 Stories,"20 Years after the 9/11 Attacks, John Barron speaks with 20 Australians whose lives were forever changed on that fateful day. Hear their stories of loss, love, courage, dedication and hope.",News and current affairs,https://iview.abc.net.au/show/9-11-stories/video/NS2158H001S00,https://cdn.iview.abc.net.au/thumbs/i/ns/NS2158H001S00_613a8fe1c0203_1920.jpg,31,9,4
