id_a,id_b,cosine_distance
0,882,0.12021983501321826
0,436,0.11207148065613481
0,390,0.09475310641167718
0,157,0.09324570339079254
0,100,0.08745987826624183
0,1040,0.08505740649508806
0,235,0.0848959620738701
0,937,0.08449104477441198
0,770,0.08340059672130752
0,51,0.08288922389013396
1,51,0.1157525271858022
1,356,0.09760324016067974
1,910,0.08161362222382411
1,346,0.07872686008132374
1,407,0.07440014039028876
1,1040,0.0729382698531776
1,460,0.07213543574199888
1,522,0.06608441602764796
1,562,0.0658811138787212
1,465,0.06223566175787187
2,749,0.2296405573846151
2,758,0.18844634323989462
2,741,0.1740791730382062
2,408,0.16485876177416364
2,453,0.16165342769214675
2,233,0.15795598774775121
2,580,0.15687127140106993
2,240,0.14702788923527263
2,502,0.14610819436155897
2,985,0.14517705269417483
3,129,0.09222579519207971
3,625,0.09125138036199065
3,130,0.09076523848340695
3,980,0.08924982447244928
3,1040,0.08583110055521706
3,907,0.07881293341595466
3,384,0.07728144650012797
3,578,0.0718007755554487
3,518,0.06765436777117032
3,101,0.06602939936806468
4,1034,0.12890741412992238
4,110,0.11517304856492928
4,348,0.11372871291642286
4,309,0.10311366940573377
4,1009,0.10230451667388574
4,1010,0.10230451667388574
4,25,0.09976194335079092
4,866,0.09381623017521828
4,342,0.09079186069169126
4,18,0.08418453906067654
5,470,0.2972303884885964
5,349,0.26802458684378416
5,43,0.18816172022510239
5,913,0.15756204790880557
5,81,0.14659229192722614
5,95,0.14473435260764111
5,837,0.14183397828290367
5,357,0.14105906770495172
5,480,0.14054409424854736
5,597,0.13837226962090204
6,585,0.13222242968085288
6,128,0.1242878708975177
6,706,0.09381981781185514
6,860,0.09340610476286516
6,88,0.09323160106287476
6,637,0.08316243207611194
6,144,0.0826441513699186
6,143,0.08073843538715328
6,653,0.08005242900240604
6,966,0.07556607876561147
7,664,0.16851126000936392
7,408,0.15198159423092475
7,781,0.12910092784486774
7,332,0.12470757229667974
7,695,0.11041232007223245
7,1018,0.097064228985041
7,868,0.09639023952966798
7,784,0.09357474259195432
7,406,0.0918303801631187
7,648,0.0861545142633417
8,94,0.17354558642848367
8,198,0.1409575470973457
8,642,0.1329550045571114
8,784,0.13071809172918186
8,427,0.129294218395511
8,170,0.12374453922549022
8,924,0.12027022667670925
8,538,0.11281048274267842
8,81,0.10418255204030508
8,860,0.10277650982455364
9,639,0.19066293821947036
9,949,0.15102306742554975
9,233,0.1385849630960523
9,293,0.13735442382092347
